,expected_value,predicted_value
1866,17804273,11175801.7
1608,36447959,18581486.96
114,34293771,129215198.31999998
2634,13622333,6208732.76
59,202351611,236204839.04
2163,1110186,7775952.2
2034,30226144,7000245.8225
516,323505540,100922196.16
2306,5348317,14097464.09
2658,5709616,18337470.2
234,190871240,111844051.68
1376,14018364,26323543.599999994
312,65452312,102561601.35999998
1218,5932060,29688892.68
188,63992328,66659017.43999999
1664,101334374,57709861.52
1973,42638165,31095298.92
1709,40270895,28364857.6
658,115603980,59661659.04
2551,87025093,37004678.64
242,43929341,66918512.96000001
2408,4443403,11368192.42
214,131920333,162117415.35999998
1642,5516708,24143422.78
2678,18488314,11780854.379999999
2271,55865715,21376408.77
1333,173381405,60788677.35999999
2599,3293258,17735005.199999996
313,148383780,84181854.24
491,10166502,28806362.15
824,69951824,77799711.36
1244,52277485,24505824.47
235,260031035,113167400.32
2619,95016,8996368.6
1669,32662299,11647595.02
2180,39647595,50808902.800000004
1792,36874745,33376187.759999998
450,124590960,65901468.32
1525,69586544,19795193.5
455,104054514,107611128.8
1743,132088910,91108541.68
434,53215979,82040490.79999998
1080,89138076,67576357.92
370,85017401,130446563.67999999
2114,10397365,19716425.360000003
1309,81257845,71517661.92
2086,51527787,25158032.240000002
683,19076815,37654118.76
718,50807639,43703725.12
251,56114221,87597403.84
1085,81593527,25149672.16
2656,4170647,8376108.289999999
316,162804648,198377084.16000003
362,9213,38135005.34
1147,4777007,28433982.04
1662,100491683,21248991.64
884,91030827,43898223.2
2190,25240988,18839823.22
320,75030163,90596683.92
1052,22108977,34726700.76
2187,31397498,25076471.539999995
284,24004159,76223461.76
60,228756232,267925260.15999997
1997,68525609,47015997.6
815,34098563,29968210.959999997
1351,32701088,34641734.66
1197,150368971,95140243.28
1880,10049886,37614347.21484375
998,47307550,58773794.88
2547,108229,15930303.823749997
227,163192114,160001255.35999998
13,200074175,280234994.24
1265,25863915,28530957.0
208,149234747,124164237.12
1972,52885587,21319030.880000003
2264,138339411,76484820.24
289,22406362,27417258.58
1451,2975649,19228745.65
2263,11043445,10901986.559999999
1764,24104113,34707120.75999999
1580,83813460,61607078.480000004
368,181166115,155691785.60000002
2115,9402410,20986950.060000002
1114,38176892,58004523.68000001
2070,7757130,46041408.64
914,39177541,35657435.68
618,34350553,70251851.67999999
2277,52200504,26814605.72
2460,119078393,11602921.73
453,112225777,137243587.2
2006,5702083,30000412.04
985,76261036,95388134.24
1545,20819129,44110941.56
1913,15281286,29999836.479999997
2243,10214647,10625243.42
2242,33305037,15954363.709999997
37,373377893,242775785.92
961,69304264,50468328.0
1561,12276810,35108023.239999995
1819,13801755,19297324.24
1777,48423368,24969886.439999998
2659,12784397,10059157.235
2337,31487293,20227515.819999997
924,26199517,31902252.279999997
2673,173066,9118820.235000001
2473,3588432,17320410.67
1969,13998282,30981874.32
263,380262555,219262002.56
456,103028109,97707950.72
338,124870275,122726960.16
1146,6114237,23819670.400000002
291,57637485,121893730.24
1493,161029270,32307518.72
1233,117528646,97022483.19999999
703,75638743,84328283.52000001
2621,38108,9682063.73
543,219613391,60844210.8
192,177343675,131759744.15999998
1276,18306166,23614986.72
823,39440655,45388848.08
789,54540525,54365701.36
597,36931089,64644861.120000005
2502,44456509,6180149.18
298,144812796,148922460.16
78,198332128,129174996.64
481,23219748,75368811.67999999
406,61644321,74417497.28999999
11,255108370,301007447.36
1482,255950375,54006389.44
118,318759914,201075150.71999997
405,78747585,76202373.75999999
374,125305545,111284224.16
1372,66207920,88144847.2
1217,25093607,51703698.72
1558,16005978,34708475.08
2395,12055108,16687383.66
767,70117571,61009295.199999996
224,217536138,159058296.0
2282,20384136,22802540.58
1435,18967571,28636134.919999998
1937,6061759,23616468.84
1127,29374178,23047517.56
1501,43097652,31043558.28
142,131564731,110861605.44
2300,6619173,29148924.000000004
1943,70492685,12237857.71
220,35799026,165715900.16
2368,1641788,9746822.84
1704,9528092,17789022.54
464,73215310,74448029.44
1789,33422556,22778506.759999998
2596,5776314,8542938.370000001
1428,30513940,9473067.4375
1521,1260917,12655298.4025
1954,54239856,41674922.76
2125,15854988,8286418.029999999
1071,163947053,77543862.08
1835,7268659,32422396.4
1178,24044532,27955863.32
1932,82234139,26228766.12
602,22531698,74821561.6
1139,20999103,57561621.2
254,76418654,115257859.83999999
2025,40064955,37526515.919999994
361,201148159,90088592.80000001
1102,50859889,69650995.52
1678,25003072,44401608.64
2046,26161406,9460181.719999999
2211,2060953,11603586.685
2511,24809547,24356900.44
268,115802596,130307964.96
1177,39177215,34637983.559999995
2217,333976,13347574.530000001
256,93050117,177381455.35999998
1103,52000688,66563262.48
436,34543701,77673816.16
1005,17300889,39444635.88
27,245428137,237576294.4
1832,9714482,23077298.599999998
937,1206135,34489254.9
541,183132370,144323412.16000003
1446,11900000,21799258.519999996
25,234903076,191134800.64
71,241407328,199327552.0
477,19673424,45245774.0
806,68750000,47677482.519999996
817,33472850,59100206.88
739,18208078,51626561.04
774,44665963,77807709.2
1254,40687294,56297918.72
1746,17757087,24322578.880000003
47,233914986,298882934.08
20,258355354,310083331.84
672,118153533,88484566.24
2622,92191,12554731.499999998
1605,39008741,23780914.759999998
1873,8047690,14132160.86
2625,3325638,8788984.892499998
830,53574088,80179359.6
484,162001186,100737032.64
519,157299717,175212678.4
2329,57176582,16232642.22
1684,75590286,88442226.64
686,143151473,64128463.36
1958,106869,13958182.69
2430,2062066,11986329.41
1748,6830957,11244526.35
2375,25926543,22006772.52
1115,36283504,63837653.44
2037,29106737,19557459.58
2106,61356221,20135667.54
1887,13753931,27220978.78
1246,55291815,49369267.199999996
257,310675583,218074315.51999998
1149,10640645,27875776.82
1009,6565495,26540864.22
2367,303439,10011443.84
1703,4190530,24676680.56
593,182805123,97854895.67999999
613,71069884,68721859.99999999
92,259746958,263871033.92000002
2102,63260,8472652.23
2463,18621249,9818715.91
350,130174897,81403239.6
899,50815288,52013353.36
1903,26906039,32404642.599999998
77,292979556,307552894.72
356,17176900,65682706.8
2265,80150343,35771898.4
21,623279547,398918844.8000001
1613,31526393,30135548.2
1378,43894863,25389522.56
2145,6241697,14918820.68
567,152149590,72797324.96
2202,15294553,38074470.519999996
2417,28747570,16491854.96
2528,2445646,12314273.79
1685,12189514,24037727.959999997
1158,16323969,40861814.12
801,162586036,96598769.44
1507,17324744,32494085.0
1346,101470202,94064689.6
2525,2711210,15348094.28
2563,6525762,11478666.26
377,241688385,101713780.0
1556,28501651,33040697.28
347,11041228,66154815.03999999
2029,33386128,30800861.28
507,176049130,112700654.32
149,93926386,123737522.72
864,1987287,22867721.46
546,47748610,107420670.08000001
2404,31501218,17526197.3
1738,28563179,24047232.96
1330,34014398,56014703.43999999
248,98780042,107259093.92
1802,29975979,39978624.8
883,126088877,50588712.96
2019,101978840,29449132.439999998
1013,106793915,80118017.11999999
2152,18004225,20250423.74
1831,13650738,34344929.519999996
1335,148085755,98386785.03999999
2614,22000,20194962.259999998
811,41609593,76705659.03999999
1638,10114315,19780723.919999998
2545,3609278,39029378.16
148,257704099,198556408.64
655,14218868,34515200.279999994
1850,100292856,54590750.07999999
536,14567883,56313195.519999996
159,111505642,108142855.03999999
2643,11284657,13146067.5
890,84244877,113551762.32000001
1490,55845943,57566503.519999996
1185,46813366,45971685.6
570,98895417,94666524.16
1687,6144806,10735242.715
852,34580635,62780311.36
1101,57011847,29252352.6
28,200069408,198495367.04
390,209019489,150242559.28
1761,161487252,51421724.31999999
2287,16033556,19156149.659999996
1140,14448589,26855240.759999998
2342,71519230,33751482.2
2540,778565,34749341.48
730,32940507,54996388.239999995
2471,4859475,23076184.64
1855,43818159,32758726.32
768,90356857,93098449.44
1415,42385520,28576274.68
358,73209340,82033268.88
1059,26616999,51182292.879999995
1921,3707794,39077721.44
2178,65269010,27621263.999999996
746,4535117,57496786.720000006
1836,6563357,26681035.24
2548,1487477,14124093.12
2236,38317535,23866689.740000002
1141,20113965,17364093.259999998
1439,15709385,24107219.959999997
62,93417865,128005647.67999999
482,15071514,73897008.32
275,102608827,124416043.99999999
1874,58156435,25911204.159999996
1611,41597830,31951122.560000002
2007,103001286,52943527.599999994
2147,5002310,22661591.88
2639,395592,4449336.92
2204,22331028,28657963.479999997
1443,18298649,39306510.12
2313,1939441,16221659.47
1172,127214072,54206062.239999995
1343,34180954,51350449.84
2074,5306447,17723035.44
2109,16298046,21542562.32
2578,37606,6436452.649999999
2308,5004648,7330168.149999999
2157,301305,27593336.0
1692,15785632,40710574.64
2688,10042266,21398266.2
537,5409517,36234451.92
702,71844424,30326505.36
2410,3047539,21257468.26
381,71148699,69570490.64
180,182618434,116905994.08
2105,49122319,25359148.44
32,218051260,225805040.64000002
2648,3590010,22277453.38
919,32741596,48564629.84
1159,7689458,54314898.71999999
1453,537580,23339377.36
1132,25117498,35067465.36
1270,19447478,28606503.68
582,62321039,84508126.39999999
2477,2077046,4989926.6899999995
832,19389454,47560159.28
1266,28995450,18879275.32
952,66488090,63301376.48
842,25031037,58716843.99999999
1567,30659817,33266132.000000004
1406,51432423,23860264.24
1941,72219395,55211817.76
594,101217900,67571270.64
587,37760080,64394381.519999996
1510,8434601,40039000.28
2458,8828771,35453847.68000001
1078,96917897,130372707.36
1914,13491653,20025724.66
168,140080850,129929372.8
2224,37188667,34799087.44
1290,7458269,34778625.0
1175,58700247,42143749.67999999
33,168368427,234446880.96
579,48430355,48290818.48
827,5755286,25250623.359999996
1701,6923891,28215736.32
1148,18438149,34289370.24
2560,10515579,15942102.440000001
1312,10499968,34099210.559999995
417,126149655,100704037.76
1736,480314,35343073.8
1688,53302314,60369438.08
2629,1163508,22931072.92
272,113330342,124623443.99999999
2283,25464480,27552148.4
506,83077470,94151586.4
526,68473360,52728413.68
2509,21501098,14347460.579999998
1952,12693621,22665472.52
1137,15962471,46213692.16
892,91439400,76122752.0
971,67263182,93122037.11999999
431,75754670,116145950.24
1136,20300000,29709374.24
1996,42638165,31095380.4
305,110332737,96592797.92
351,202007640,136957044.79999998
2581,9449219,10922323.44
991,65557989,67538064.8
1081,90353764,54013263.44
576,40932372,62586610.08
1711,51483949,60668359.84
928,19593740,49056677.440000005
2014,4193025,16194505.899999999
1804,23179303,21737355.16
2169,9030581,24663570.319999997
1975,39511038,35151217.839999996
397,143618384,120013626.08
548,162495848,67840604.08
1732,11560259,22411448.32
804,66365290,63560135.12
1381,20981633,38300641.64
419,63224849,99739139.04
1423,38432823,18922411.919999998
2514,18656400,16198159.219999999
1737,52353636,42881120.11999999
544,78120196,71656138.08
2248,352786,9168112.245
462,79363785,98188086.88
2021,47811275,27295223.240000002
2267,78845130,34630003.32
1740,4398392,11456758.622499999
14,760505847,387049076.48
1171,144512310,96946358.56
89,113745408,109039255.68
240,100685880,93321426.23999998
422,84303558,85205008.0
140,126597121,121860638.08
202,122512052,97992511.11999999
367,63540020,163681338.88
1609,45089048,46268076.72
936,10706786,54762378.879999995
85,133228348,183167049.92
850,36385763,86285440.16
2304,7764027,20371701.52
1971,39825798,52730088.720000006
454,109993847,74749816.48
76,47375327,136718186.72
690,104148781,58438256.0
1077,102310175,65005611.760000005
130,400736600,284366445.12
2186,31691811,30006137.200000003
2179,63071133,23020276.759999998
1091,70836296,65314343.84
1399,64172251,30631622.120000005
871,73343413,96487196.15999998
762,32940507,54997082.08
2350,25530884,130189630.24
1374,61094903,67335567.84
862,25121291,72322083.83999999
1516,5204007,31421300.519999996
1400,63536011,26608627.82
599,51225796,61295675.28
1788,36658108,37971642.64
2480,7186670,21199650.68
1008,7916887,19383641.36
228,113165635,138358134.07999998
1025,54116191,93167199.2
1809,18882880,16587982.18
1910,17174870,12446243.46
1053,7204138,31436241.08
243,30212620,53904685.6
395,64685359,66997221.28
162,209364921,181591053.44000003
1603,39880476,23387457.839999996
